name,main_link,sub_link
"Безыскровый наливной пол 66PU 2ИБ",https://politaks.ru/polimer/nalivnoy-pol-pu/66pu-2ib/,products/nalivnoi-pol/pu-pol/66pu-2ib.html
"Полиуретан цементные полы 66PU 3ПЦ",https://politaks.ru/polimer/nalivnoy-pol-pu/66pu-3pc/,products/nalivnoi-pol/pu-cment-pol/66pu-3pc.html
"Полиуретановый наливной пол 66PU 2СТ",https://politaks.ru/polimer/nalivnoy-pol-pu/66pu-2st/,products/nalivnoi-pol/pu-pol/66pu-2st.html
"Полиуретановый наливной пол 66PU 2CB",https://politaks.ru/polimer/nalivnoy-pol-pu/66pu-2cv/,products/nalivnoi-pol/pu-pol/66pu-2cv.html
"Полиуретановый наливной пол 66PU 2Т",https://politaks.ru/polimer/nalivnoy-pol-pu/66pu-2t/,products/nalivnoi-pol/pu-pol/66pu-2t.html
"Полиуретановый наливной пол 66PU 2BH",https://politaks.ru/polimer/nalivnoy-pol-pu/66pu-2vn/,products/nalivnoi-pol/pu-pol/66pu-2vn.html
"Эпоксидные наливные полы",https://politaks.ru/polimer/nalivnoy-pol-ep/,products/nalivnoi-pol/vodno-ep-pol/
"Эпоксидный наливной пол 33EP 2CB",https://politaks.ru/polimer/nalivnoy-pol-ep/33ep-2cv/,products/nalivnoi-pol/ep-pol/33ep-2cv.html
"Эпоксидный наливной пол 33EP 2Т",https://politaks.ru/polimer/nalivnoy-pol-ep/33ep-2t/,products/nalivnoi-pol/ep-pol/33ep-2t.html
"Эпоксидный наливной пол 33ЕP 2ВН",https://politaks.ru/polimer/nalivnoy-pol-ep/33ep-2vn/,products/nalivnoi-pol/ep-pol/33ep-2vn.html
"Белый наливной пол 33ЕР 2Б",https://politaks.ru/polimer/nalivnoy-pol-ep/33ep-2b/,products/nalivnoi-pol/ep-pol/33ep-2b.html
"3D наливные полы 33ЕР 2П",https://politaks.ru/polimer/nalivnoy-pol-ep/33ep-2p/,products/nalivnoi-pol/3d-pol/
"Водно-эпоксидный наливной пол 33EP 2В",https://politaks.ru/polimer/nalivnoy-pol-ep/33ep-2v/,products/nalivnoi-pol/vodno-ep-pol/33ep-2v.html
"Пропитки",https://politaks.ru/polimer/propitki/,products/beton/propitki-beton/
"Полиуретановые пропитки",https://politaks.ru/polimer/propitki/propitka-pu/,products/topping/pu-propitka/
"Пропитка 55PU 1/50",https://politaks.ru/polimer/propitki/propitka-pu/55pu-1-50/,products/beton/propitki-beton/55pu-1-50.html
"Пропитка 55PU 1/25",https://politaks.ru/polimer/propitki/propitka-pu/55pu-1-25/,products/beton/propitki-beton/55pu-1-25.html
"Пропитка 55PU 2/50",https://politaks.ru/polimer/propitki/propitka-pu/55pu-2-50/,products/beton/propitki-beton/55pu-1-50.html
"Пропитка 55PU 2/40",https://politaks.ru/polimer/propitki/propitka-pu/55pu-2-40/,products/beton/propitki-beton/55pu-2-40.html
"Пропитка 55PU 1C",https://politaks.ru/polimer/propitki/propitka-pu/55pu-1c/,products/beton/propitki-beton/55pu-1c.html
"Эпоксидные пропитки",https://politaks.ru/polimer/propitki/propitka-ep/,products/ognezashchitnye-kraski/ep-kraski/
"Пропитка 55EP 2G",https://politaks.ru/polimer/propitki/propitka-ep/55ep-2g/,products/beton/propitki-beton/88ep-2g.html
"Акриловые пропитки",https://politaks.ru/polimer/propitki/propitka-ak/,products/ognezashchitnye-kraski/ak-kraski/
"Флюат ФЛ1",https://politaks.ru/polimer/propitki/propitka-ak/fl1/,
"Пропитка ФЛ2",https://politaks.ru/polimer/propitki/propitka-ak/fl2/,products/beton/polymer-dob-beton/fl2.html
"Лаки",https://politaks.ru/polimer/lak/,
"Полиуретановые лаки",https://politaks.ru/polimer/lak/lak-pu/,products/asphalt/asphalt-pu-kraski/
"Универсальный лак 88PU 1",https://politaks.ru/polimer/lak/lak-pu/88pu-1/,products/beton/laki-beton/88pu-1.html
"Лак 88PU 1П",https://politaks.ru/polimer/lak/lak-pu/88pu-1p/,products/beton/laki-beton/88pu-1p.html
"Лак 88PU 1М",https://politaks.ru/polimer/lak/lak-pu/88pu-1m/,products/beton/laki-beton/88pu-1m.html
"Лак 88PU 1/60",https://politaks.ru/polimer/lak/lak-pu/88pu-1-60/,products/beton/laki-beton/88pu-1.html
"Полиуретановый водно-дисперсионный матовый лак 88PU 2MT/W",https://politaks.ru/polimer/lak/lak-pu/88pu-2mt-w/,products/beton/laki-beton/88pu-2mt-w.html
"Лак 88PU 1есо",https://politaks.ru/polimer/lak/lak-pu/88pu-1eco/,products/eco/eco-lak/88pu-1eco.html
"Лак 88PU",https://politaks.ru/polimer/lak/lak-pu/88pu/,products/beton/laki-beton/88pu-1.html
"Лак 88PU 2Г",https://politaks.ru/polimer/lak/lak-pu/88pu-2g/,products/wood/wood-grunty/88pu-2g.html
"Лак 88PU 2М",https://politaks.ru/polimer/lak/lak-pu/88pu-2m/,products/beton/laki-beton/88pu-2m.html
"Лак 88PU 2П",https://politaks.ru/polimer/lak/lak-pu/88pu-2p/,products/beton/laki-beton/88pu-2p.html
"Лак 88ЕP 2Л",https://politaks.ru/polimer/lak/88ep-2l/,products/beton/laki-beton/88ep-2l.html
"Лак ФЛ2",https://politaks.ru/polimer/lak/fl2/,
"Грунтовки",https://politaks.ru/polimer/grunt/,pu-cment-materials/pu-cment-grunt/
"Полиуретановые грунтовки",https://politaks.ru/polimer/grunt/grunt-pu/,pu-cment-materials/pu-cment-grunt/
"Полиуретановвая грунтовка 88PU 2/99",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2-99/,products/beton/gruntovki-beton/88pu-2-99.html
"Грунтовка 88PU 1/100",https://politaks.ru/polimer/grunt/grunt-pu/88pu-1-100/,products/beton/gruntovki-beton/88pu-1-25.html
"Грунтовка 88PU 2УФ",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2uf/,products/beton/gruntovki-beton/88pu-2as.html
"Грунтовка 88PU 2есо",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2eco/,products/eco/eco-grunt/88pu-2eco.html
"Грунт глубокого проникновения 88PU 2/40",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2-40/,products/beton/gruntovki-beton/88pu-2-40.html
"Грунт для бетона 88PU 2/50",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2-50/,products/beton/gruntovki-beton/88pu-2-100.html
"Грунт для топпинга 88PU 1/25",https://politaks.ru/polimer/grunt/grunt-pu/88pu-1-25/,products/beton/gruntovki-beton/88pu-1-25.html
"Полиуретановый порозаполнитель 88PU 2/100",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2-100/,products/beton/gruntovki-beton/88pu-2-100.html
"Быстросохнущая грунтовка 88PU 1/50",https://politaks.ru/polimer/grunt/grunt-pu/88pu-1-50/,products/beton/gruntovki-beton/88pu-1-50.html
"Грунт-порозаполнитель 88PU 2EL",https://politaks.ru/polimer/grunt/grunt-pu/88pu-2el/,products/nalivnoi-pol/el-pol/88pu-2el.html
"Полиуретан-цементный грунт 88PU 3ПЦ",https://politaks.ru/polimer/grunt/grunt-pu/88pu-3pc/,products/beton/gruntovki-beton/88pu-3pc.html
"Эпоксидные грунтовки",https://politaks.ru/polimer/grunt/grunt-ep/,products/ognezashchitnye-kraski/ep-kraski/
"Эпоксидная грунтовка 88EP 2/99",https://politaks.ru/polimer/grunt/grunt-ep/88ep-2-99/,products/beton/gruntovki-beton/88ep-2-99.html
"Эпоксидный порозаполнитель 88EP 2/100",https://politaks.ru/polimer/grunt/grunt-ep/88ep-2-100/,products/beton/gruntovki-beton/88ep-2-100.html
"Эпоксидная грунтовка для бетона 88EP 2G",https://politaks.ru/polimer/grunt/grunt-ep/88ep-2g/,products/beton/gruntovki-beton/88ep-2g.html
"Водно-эпоксидный грунт 88EP 2В",https://politaks.ru/polimer/grunt/grunt-ep/88ep-2v/,products/beton/gruntovki-beton/88ep-2v.html
"Грунт Эмаль",https://politaks.ru/polimer/grunt-emal/,
"Эпоксидная грунт-эмаль",https://politaks.ru/polimer/grunt-emal/grunt-emal-ep/,
"Грунт-эмаль 77EPV 2/55",https://politaks.ru/polimer/grunt-emal/grunt-emal-ep/77epv-2-55/,products/beton/kraski-beton/77epv-2-55.html
"Полиуретановая грунт-эмаль",https://politaks.ru/polimer/grunt-emal/grunt-emal-pu/,products/topping/pu-propitka/
"Грунт-эмаль 77PU 1УФ",https://politaks.ru/polimer/grunt-emal/grunt-emal-pu/77pu-1uf/,products/metal/grunt-emali-metal/77pu-2s-70.html
"Эмали",https://politaks.ru/polimer/emal/,
"Эпоксидные краски",https://politaks.ru/polimer/emal/emal-ep/,products/ognezashchitnye-kraski/ep-kraski/
"Быстросохнущая краска по бетону 22ЕP 2/75",https://politaks.ru/polimer/emal/emal-ep/22ep-2-75/,products/beton/kraski-beton/22ep-2-75.html
"Эмаль 22EP 2/100",https://politaks.ru/polimer/emal/emal-ep/22ep-2-100/,products/metal/kraski-aluminium/22ep-2-platinum.html
"Водная-эпоксидная краска 22EP 2В",https://politaks.ru/polimer/emal/emal-ep/emal-22ep-2v/,products/beton/kraski-beton/22ep-2v.html
"Полиуретановые эмали",https://politaks.ru/polimer/emal/emal-pu/,pu-cment-materials/pu-cment-emal/
"Полиуретановая матовая краска 77PU 1/75УФ",https://politaks.ru/polimer/emal/emal-pu/77pu-1-75/,products/beton/kraski-beton/77pu-1-75.html
"Быстросохнущая краска по бетону 77PU 1/40",https://politaks.ru/polimer/emal/emal-pu/77pu-1-40/,products/beton/kraski-beton/77pu-1-40.html
"Эмаль 77PU 2/85УФ",https://politaks.ru/polimer/emal/emal-pu/77pu-2-85uf/,
"Эмаль 77PU 2есо",https://politaks.ru/polimer/emal/emal-pu/77pu-2eco/,products/eco/eco-emali/77pu-2eco.html
"Краска для асфальта 77PU 2ХТП",https://politaks.ru/polimer/emal/emal-pu/77pu-2htp/,products/asphalt/77pu-2htp.html
"Краска для бетонного пола 77PU 2/100",https://politaks.ru/polimer/emal/emal-pu/77pu-2-100/,products/beton/kraski-beton/77pu-2-100.html
"Полиуретановая краска 77PU 1/80",https://politaks.ru/polimer/emal/emal-pu/77pu-1-80/,products/beton/kraski-beton/77pu-1-80.html
"Наливные спортивные полы 77PU 2EL",https://politaks.ru/polimer/emal/emal-pu/77pu-2el/,products/nalivnoi-pol/
"УФ-стойкая краска 77PU 2/50УФ",https://politaks.ru/polimer/emal/emal-pu/77pu-2-50-uf/,products/beton/kraski-beton/77pu-2el-50.html
"УФ стойкая полиуретановая эмаль 77PU 2EL/50",https://politaks.ru/polimer/emal/emal-pu/77pu-2el-50/,products/beton/kraski-beton/77pu-2el-50.html
"Полиуретановая эмаль 77PU 2/60",https://politaks.ru/polimer/emal/emal-pu/77pu-2-60/,products/beton/kraski-beton/77pu-2-60.html
"Полиуретан-цементная краска 77PU 3ПЦ",https://politaks.ru/polimer/emal/emal-pu/77pu-3pc/,products/beton/kraski-beton/77pu-3pc.html
"Эмаль 77PU 2/70УФ",https://politaks.ru/polimer/emal/emal-pu/77pu-2-70uf/,
"Эмаль ФЛ",https://politaks.ru/polimer/emal/fl/,
"Шпаклевки",https://politaks.ru/polimer/shpaklevki/,
"Полиуретановая шпатлевка для бетона 66PU 2Ш",https://politaks.ru/polimer/shpaklevki/66pu-2sh/,products/beton/shpatlevka-beton/66pu-2sh.html
"Эпоксидная шпаклевка для бетона 22ЕР 2Ш",https://politaks.ru/polimer/shpaklevki/22ep-2sh/,products/beton/shpatlevka-beton/22ep-2sh.html
"Шпаклевка (фуга) 22EP 2Ф",https://politaks.ru/polimer/shpaklevki/22ep-2f/,products/beton/fuga-beton/22ep-2f.html
"ЭКО-шпатлёвка 22ЕР 2ШВ",https://politaks.ru/polimer/shpaklevki/22er-2shv/,
"Добавки для бетона",https://politaks.ru/polimer/dobavki/,products/beton/
"Пластобетон - А",https://politaks.ru/polimer/dobavki/plastobeton-a/,
"Пластобетон - А1",https://politaks.ru/polimer/dobavki/plastobeton-a1/,
"Пластобетон - Б",https://politaks.ru/polimer/dobavki/plastobeton-b/,
"Пластобетон-С",https://politaks.ru/polimer/dobavki/plastobeton-s/,
"Антистатические полы и покрытия",https://politaks.ru/polimer/antistatic/,products/nalivnoi-pol/antistatic-pol/
"Антистатическая грунтовка 88PU 2AS",https://politaks.ru/polimer/antistatic/88pu-2as/,products/beton/gruntovki-beton/88pu-2as.html
"Антистатическая пропитка 88EP 2AS",https://politaks.ru/polimer/antistatic/88ep-2as/,products/beton/kraski-beton/22ep-2as.html
"Антистатический наливной пол 66PU 2AS",https://politaks.ru/polimer/antistatic/66pu-2as/,products/nalivnoi-pol/antistatic-pol/33ep-2as.html
"Антистатический наливной пол 33EP 2AS",https://politaks.ru/polimer/antistatic/33ep-2as/,products/nalivnoi-pol/antistatic-pol/33ep-2as.html
"Антистатическая эпоксидная эмаль 22EP 2AS",https://politaks.ru/polimer/antistatic/22ep-2as/,products/beton/kraski-beton/22ep-2as.html
"Антистатическая эмаль УФ-стойкая 77PU 2AS",https://politaks.ru/polimer/antistatic/77pu-2as/,products/beton/kraski-beton/22ep-2as.html
"Полиуретановый герметик для швов 66PU 2",https://politaks.ru/polimer/66pu-2/,products/beton/germetik-beton/66pu-2.html
"Клей для резиновых матов 66PU 2К",https://politaks.ru/polimer/66pu-2k/,products/nalivnoi-pol/el-pol/66pu-2k.html
"Эпоксидный компаунд 33ЕP 2КП",https://politaks.ru/polimer/33ep-2kp/,products/beton/kraski-beton/33ep-2kp.html
"Краска для бассейна 77PU 2МC",https://politaks.ru/polimer/77pu-2mc/,products/beton/kraski-pool/77pu-2mc.html
"Безыскровое покрытие, искробезопасное покрытие для полов",https://politaks.ru/polimer/bezyskrovoe-pokrytie/,
"Безыскровые полы, искробезопасные полы",https://politaks.ru/polimer/bezyskrovyj-pol/,products/nalivnoi-pol/3d-pol/
"Декоративные полы",https://politaks.ru/polimer/decorativnye-poly/,
"Эпоксидное покрытие",https://politaks.ru/polimer/epoksidnoe-pokrytie/,
"Химстойкие полы и покрытия",https://politaks.ru/polimer/himstojkoe-pokrytie/,
"Кварцевые полы",https://politaks.ru/polimer/kvarc-pokrytie/,
"Покрытие для асфальта",https://politaks.ru/polimer/pokrytie-dlja-asfalta/,products/asphalt/
"Покрытие с чипсами, покрытие с флоками, покрытие с глиттером",https://politaks.ru/polimer/pokrytie-floki/,
"Гидроизоляционная пропитка",https://politaks.ru/polimer/pgi/,
"Каменный ковер",https://politaks.ru/polimer/pokrytie-peskom/,
"Полиуретановое покрытие",https://politaks.ru/polimer/poliuretanovoe-pokrytie/,
"Эпоксидный клей для стяжки 33ЕР 2К",https://politaks.ru/polimer/33ep-2k/,products/beton/kleevoy-sostav/33ep-2k.html
"Мастика гидроизоляционная",https://politaks.ru/polimer/76pu-2m/,products/beton/mastika-beton/76pu-2m.html
"Колеровочная паста",https://politaks.ru/polimer/kolerovochnaya-pasta/,
"Ремонтный состав РС-ПГ",https://politaks.ru/polimer/rs-pg/,
"Силер для бетона и топпинга",https://politaks.ru/polimer/55ak-1/,products/beton/propitki-beton/55ak-1.html
"Средство для химической очистки ФЛ3",https://politaks.ru/polimer/fl3/,products/beton/polymer-dob-beton/fl3.html
"Гидрофобизатор ФЛ4",https://politaks.ru/polimer/fl4/,products/beton/polymer-dob-beton/fl4.html
"Бетоноконтакт ФЛ5",https://politaks.ru/polimer/fl5/,products/beton/polymer-dob-beton/fl5.html
"Дорожная краска 11АК 1/75",https://politaks.ru/polimer/11ak-1-75/,products/asphalt/11ak-1-75.html
"Кислотоупорные материалы",https://politaks.ru/beton/kislotoupornye-materialy/,
"Кислотостойкие эмали для бетона",https://politaks.ru/beton/kislotoupornye-materialy/emal/,products/beton/
"Кислотостойкая эмаль по бетону",https://politaks.ru/beton/kislotoupornye-materialy/emal/22ep-2kc/,products/metal/big-grunt-emali-metal/22ep-2s.html
"Кислотоупорные лаки",https://politaks.ru/beton/kislotoupornye-materialy/lak/,
"Кислотостойкий лак по бетону",https://politaks.ru/beton/kislotoupornye-materialy/lak/88ep-2kc/,products/kislotoupornye-materials/kislotoupornye-laki/88ep-2kc.html
"Кислотостойкий (фторопластовый) лак для бетона",https://politaks.ru/beton/kislotoupornye-materialy/lak/88fp-1/,products/kislotoupornye-materials/kislotoupornye-laki/88fp-1.html
"Наливной кислотоупорный пол",https://politaks.ru/beton/kislotoupornye-materialy/33ep-2kc/,products/kislotoupornye-materials/kislotoupornii-pol/33ep-2kc.html
"Химстойкие материалы",https://politaks.ru/beton/ximstojkie-materialyi/,
"Химстойкие эмали",https://politaks.ru/beton/ximstojkie-materialyi/emal/,
"Химстойкая эмаль для бетона",https://politaks.ru/beton/ximstojkie-materialyi/emal/77epv-2kc/,products/kislotoupornye-materials/kislotoupornye-laki/77epv-2kc.html
"Химстойкая эмаль по бетону",https://politaks.ru/beton/ximstojkie-materialyi/emal/77pu-2kc/,products/kislotoupornye-materials/kislotoupornye-emali/77pu-2kc.html
"Химстойкие лаки",https://politaks.ru/beton/ximstojkie-materialyi/lak/,
"Материалы для очистных сооружений",https://politaks.ru/beton/ochistnye-sooruzheniya/,
"Пропитки для очистных сооружений",https://politaks.ru/beton/ochistnye-sooruzheniya/propitki/,products/beton/propitki-beton/
"Эмали для очистных сооружений",https://politaks.ru/beton/ochistnye-sooruzheniya/emal/,primenenie/underground-structures/
"Полимербетонные полы",https://politaks.ru/beton/polimerbeton/,
"Полимерцементные полы",https://politaks.ru/beton/polimerbeton/polimercementnye-poly/,
"Полимербетон",https://politaks.ru/beton/polimerbeton/polimerbeton/,
"Антикоррозионные материалы",https://politaks.ru/metal/antikor/,
"Грунтовки",https://politaks.ru/metal/antikor/grunt/,pu-cment-materials/pu-cment-grunt/
"Грунтовка 88EP 2S/75",https://politaks.ru/metal/antikor/grunt/88ep-2s-75/,products/metal/gruntovki-metal/88ep-2s-75.html
"Грунтовка эпоксидная 88EPV 2GS",https://politaks.ru/metal/antikor/grunt/88epv-2gs/,
"Спец-грунт 88PU 1AL",https://politaks.ru/metal/antikor/grunt/88pu-1al/,products/metal/gruntovki-metal/88pu-1al.html
"Грунтовка 44UR 1Zng",https://politaks.ru/metal/antikor/grunt/44ur-1zng/,products/metal/grunt-holodnoe-cinkovanie/44ur-1zng.html
"Грунтовка 88AL 1GS",https://politaks.ru/metal/antikor/grunt/88al-1gs/,products/metal/gruntovki-metal/88al-1gs.html
"Грунтовка 88PU 1GS",https://politaks.ru/metal/antikor/grunt/88pu-1gs/,products/metal/gruntovki-metal/88pu-1gs.html
"Эмаль-грунт",https://politaks.ru/metal/antikor/emal-grunt/,
"Эмаль-грунт 77EPV 2S",https://politaks.ru/metal/antikor/emal-grunt/77epv-2s/,products/metal/grunt-emali-metal/77epv-2s.html
"Эмаль-грунт 22EP 2S/75",https://politaks.ru/metal/antikor/emal-grunt/22ep-2s-75/,products/beton/kraski-beton/22ep-2-75.html
"Эмаль-грунт 22EP 2/75Kr",https://politaks.ru/metal/antikor/emal-grunt/22ep-2-75kr/,products/beton/kraski-beton/22ep-2-75.html
"Цинковая эпоксидная эмаль 44EP 2Zn",https://politaks.ru/metal/antikor/emal-grunt/44ep-2zn/,products/metal/kraski-holodnoe-cinkovanie/44ep-2zn.html
"Эмаль-грунт 44UR 1Zn",https://politaks.ru/metal/antikor/emal-grunt/44ur-1zn/,products/metal/kraski-holodnoe-cinkovanie/44ur-1zn.html
"Акриловая эмаль 11AK 1S",https://politaks.ru/metal/antikor/emal-grunt/11ak-1s/,products/metal/grunt-emali-metal/11ak-1s.html
"Эмаль-грунт 11AK 1K",https://politaks.ru/metal/antikor/emal-grunt/11ak-1k/,products/roof/roof-kraski/11ak-1k.html
"Эмаль-грунт 11BH 1S",https://politaks.ru/metal/antikor/emal-grunt/11vn-1s/,products/metal/grunt-emali-metal/11vn-1s.html
"Эмаль-грунт 77PU 2S/50",https://politaks.ru/metal/antikor/emal-grunt/77pu-2s-50/,products/metal/grunt-emali-metal/77pu-2s-50.html
"Эмаль-грунт 77PU 2S/70",https://politaks.ru/metal/antikor/emal-grunt/77pu-2s-70/,products/metal/grunt-emali-metal/77pu-2s-70.html
"Эмаль-грунт 77PL 1SP",https://politaks.ru/metal/antikor/emal-grunt/77pl-1s-semi-gloss/,products/metal/grunt-emali-metal/77pl-1s-semi-gloss.html
"Эмаль-грунт 77PL 1Kr",https://politaks.ru/metal/antikor/emal-grunt/77pl-1kr/,
"Эмаль-грунт 77PL 1SV (глянцевая)",https://politaks.ru/metal/antikor/emal-grunt/77pl-1s-gloss/,products/metal/grunt-emali-metal/77pl-1s-gloss.html
"Эмаль-грунт 77URV 2S",https://politaks.ru/metal/antikor/emal-grunt/77urv-2s/,products/metal/grunt-emali-metal/77urv-2s.html
"Эмали",https://politaks.ru/metal/antikor/emal/,
"Эмаль 77PU 2ХТП/S",https://politaks.ru/metal/antikor/emal/77pu-2htp-s/,products/asphalt/77pu-2htp.html
"Эмаль 77PU 2Kr",https://politaks.ru/metal/antikor/emal/77pu-2kr/,products/metal/antikor-metal/77pu-2kr.html
"Эмаль-грунт 77PL 1SM (матовая)",https://politaks.ru/metal/antikor/emal/77pl-1s-matt/,products/metal/grunt-emali-metal/77pl-1s-matt.html
"Эмаль 22EP 2S",https://politaks.ru/metal/antikor/emal/22ep-2s/,products/metal/big-grunt-emali-metal/22ep-2s.html
"Эмаль 22EP 2Kr",https://politaks.ru/metal/antikor/emal/22ep-2kr/,products/metal/antikor-metal/22ep-2kr.html
"Эмаль 77PU 1S",https://politaks.ru/metal/antikor/emal/77pu-1s/,products/metal/grunt-emali-metal/77pu-1s.html
"Эмаль 77PU 1S/50",https://politaks.ru/metal/antikor/emal/77pu-1s-50/,products/metal/grunt-emali-metal/77pu-1s-50.html
"Эмаль 22EP 2Т",https://politaks.ru/metal/antikor/emal/22ep-2-termo/,products/metal/kraski-aluminium/22ep-2-platinum.html
"Эмаль 22EP 2MC",https://politaks.ru/metal/antikor/emal/22ep-2mc/,products/beton/kraski-pool/22ep-2mc.html
"Необрастающая корабельная защита",https://politaks.ru/metal/antikor/emal/nkz/,products/metal/antikor-metal/nkz.html
"Эмаль 22EP 2 Platinum",https://politaks.ru/metal/antikor/emal/22ep-2-platinum/,products/metal/kraski-aluminium/22ep-2-platinum.html
"Эмаль 22EP 2W",https://politaks.ru/metal/antikor/emal/22ep-2w/,products/kislotoupornye-materials/kislotoupornye-emali/22ep-2w.html
"Лаки",https://politaks.ru/metal/antikor/lak/,
"Лак 88PU 1S",https://politaks.ru/metal/antikor/lak/88pu-1s/,products/metal/laki-metal/88pu-1s.html
"Преобразователь ржавчины",https://politaks.ru/metal/antikor/preobrazovatel-rzhavchinyi/,products/metal/preobrazovatel-rzhavchiny/preobrazovatel-rzhavchinyi.html
"Корабельная краска",https://politaks.ru/metal/antikor/77epv-2kr/,products/metal/antikor-metal/77epv-2kr.html
"Корабельная краска по металлу",https://politaks.ru/metal/antikor/77epv-2kr/korabelnaya-kraska-po-metallu/,
"Смывка старой краски",https://politaks.ru/metal/antikor/smyivka/,products/metal/smyvka-kraski/smyivka.html
"Разбавитель",https://politaks.ru/metal/antikor/razbavitel/,products/metal/razbaviteli/razbavitel.html
"Обезжириватель",https://politaks.ru/metal/antikor/obezzhirivatel/,products/metal/obezzhirivanie-metalla/obezzhirivatel.html
"Кислотоупорные материалы",https://politaks.ru/metal/kislotoupornye-materialy/,
"Кислотостойкие эмали для металла",https://politaks.ru/metal/kislotoupornye-materialy/emal/,products/metal/
"Кислотостойкая эмаль по металлу",https://politaks.ru/metal/kislotoupornye-materialy/emal/22ep-2ks/,products/kislotoupornye-materials/kislotoupornye-emali/22ep-2ks.html
"Кислотоупорные лаки",https://politaks.ru/metal/kislotoupornye-materialy/lak/,
"Кислотостойкий лак по металлу",https://politaks.ru/metal/kislotoupornye-materialy/lak/88ep-2ks/,products/metal/gruntovki-metal/88ep-2gs.html
"Кислотостойкий (фторопластовый) лак",https://politaks.ru/metal/kislotoupornye-materialy/lak/88fp-1/,products/kislotoupornye-materials/kislotoupornye-laki/88fp-1.html
"Наливной кислотоупорный пол",https://politaks.ru/metal/kislotoupornye-materialy/33ep-2kc/,products/kislotoupornye-materials/kislotoupornii-pol/33ep-2kc.html
"Химстойкие материалы",https://politaks.ru/metal/ximstojkie-materialyi/,
"Химстойкие эмали",https://politaks.ru/metal/ximstojkie-materialyi/emal/,
"Химстойкая эмаль по металлу",https://politaks.ru/metal/ximstojkie-materialyi/emal/77pu-2ks/,products/kislotoupornye-materials/kislotoupornye-emali/77pu-2ks.html
"Химстойкая эмаль для металла",https://politaks.ru/metal/ximstojkie-materialyi/emal/77epv-2ks/,products/metal/grunt-emali-metal/11vn-1s.html
"Химстойкие лаки",https://politaks.ru/metal/ximstojkie-materialyi/lak/,
"Краски для нефтегазовых сооружений",https://politaks.ru/metal/neftegazodobyicha/,products/beton/kraski-beton/
"Эмаль-грунт",https://politaks.ru/metal/neftegazodobyicha/emal-grunt/,
"Эмаль-грунт 77EPV 2ойл",https://politaks.ru/metal/neftegazodobyicha/emal-grunt/77epv-2oil/,products/promyshlennye-pokrytiya/coatings-for-oil-and-gas-facilities/77epv-2oil.html
"Эмали",https://politaks.ru/metal/neftegazodobyicha/emal/,
"Эмаль 77PU 2ойл",https://politaks.ru/metal/neftegazodobyicha/emal/77pu-2oil/,products/beton/kraski-beton/77pu-3pc.html
